Year,Japan,US,China,Germany,Korea
2000,4887301,10284750,1214912,1955673,561595
2001,4304758,10621825,1344097,1952325,533188
2002,4115197,10977525,1477483,2086496,609017
2003,4447378,11510675,1671072,2510528,680581
2004,4815772,12274925,1966223,2823071,764892
2005,4755980,13093700,2308786,2866308,898137
2006,4530475,13855900,2774308,3005081,1012044
2007,4515264,14477625,3571451,3444723,1122679
2008,5037910,14718575,4604285,3770150,1002219
2009,5231384,14418725,5121681,3426672,901935
2010,5700099,14964400,6066351,3423466,1094499
2011,6157460,15517925,7522103,3761142,1202464
2012,6203213,16155250,8570348,3545946,1222807
2013,5155716,16691500,9635025,3753687,1305605
2014,4848733,17427600,10534526,3896788,1411334
2015,4379868,18120700,11226186,3377310,1382764
2016,4936543,18624450,11232108,3479232,1411042
